waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,30469492376,22.321,1,0.0,1.052,laggard_gpu_busy,gemm=11.6ms;cat_copy=7.4ms;moe_permute=2.7ms,
0,30628584773,21.583,5,0.0,1.016,laggard_gpu_busy,gemm=10.0ms;cat_copy=7.4ms;moe_permute=2.7ms,
0,30791661270,10.439,4,0.0,1.024,laggard_gpu_busy,gemm=6.4ms;moe_permute=2.8ms;elementwise=1.1ms,
0,30859164643,34.071,6,0.0,1.022,laggard_gpu_busy,gemm=18.7ms;cat_copy=10.1ms;moe_permute=3.7ms,
0,30967474069,8.607,6,0.0,1.026,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,31036415791,32.366,1,0.0,1.027,laggard_gpu_busy,gemm=16.6ms;cat_copy=10.8ms;moe_permute=3.4ms,
0,33460591163,203.404,5,0.0,0.122,laggard_gpu_idle(host),gemm=11.1ms;cat_copy=8.9ms;moe_permute=2.8ms,
0,33687280505,42.75,1,0.0,1.012,laggard_gpu_busy,gemm=18.3ms;cat_copy=17.3ms;elementwise=4.2ms,
0,33890349757,8.519,6,0.0,1.027,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,33936720710,10.431,6,0.0,1.041,laggard_gpu_busy,gemm=7.9ms;moe_permute=2.9ms;hybridep_meta=0.0ms,
0,34095081969,74.346,6,0.0,0.468,mixed,gemm=18.7ms;cat_copy=10.4ms;moe_permute=3.4ms,
0,34188218407,44.146,6,0.0,1.014,laggard_gpu_busy,cat_copy=19.4ms;gemm=18.2ms;elementwise=3.9ms,
0,34393705378,9.864,4,0.0,1.027,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.7ms;elementwise=1.1ms,
0,34437598804,11.894,4,0.0,1.039,laggard_gpu_busy,gemm=9.5ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,34592528032,21.561,5,0.0,1.015,laggard_gpu_busy,gemm=10.0ms;cat_copy=7.4ms;moe_permute=2.7ms,
0,34634535265,25.798,5,0.0,1.023,laggard_gpu_busy,gemm=12.5ms;cat_copy=8.1ms;elementwise=2.9ms,
0,35013976821,22.309,1,0.0,1.046,laggard_gpu_busy,gemm=11.5ms;cat_copy=7.3ms;moe_permute=2.7ms,
0,35055922006,26.582,1,0.0,1.025,laggard_gpu_busy,gemm=12.8ms;cat_copy=8.7ms;moe_permute=2.9ms,
0,35240311567,17.533,6,0.0,1.019,laggard_gpu_busy,cat_copy=7.0ms;gemm=6.3ms;moe_permute=2.7ms,
0,35282908022,20.818,6,0.0,1.039,laggard_gpu_busy,gemm=12.9ms;cat_copy=3.6ms;moe_permute=2.9ms,
0,35457732312,15.682,3,0.0,1.018,laggard_gpu_busy,gemm=6.5ms;cat_copy=4.8ms;moe_permute=2.8ms,
0,35500884803,19.04,3,0.0,1.038,laggard_gpu_busy,gemm=13.1ms;cat_copy=3.7ms;moe_permute=2.9ms,
0,35880459503,10.808,4,0.0,1.031,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.8ms;cat_copy=1.4ms,
0,35921518509,12.901,4,0.0,1.046,laggard_gpu_busy,gemm=10.7ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,36086924434,18.155,6,0.0,1.014,laggard_gpu_busy,cat_copy=7.0ms;gemm=6.4ms;moe_permute=3.1ms,
0,36130583368,21.903,6,0.0,1.028,laggard_gpu_busy,gemm=12.7ms;cat_copy=4.0ms;moe_permute=3.0ms,
0,36305241218,23.758,1,0.0,1.019,laggard_gpu_busy,cat_copy=9.8ms;gemm=8.8ms;moe_permute=3.4ms,
0,36357411720,32.388,1,0.0,1.021,laggard_gpu_busy,gemm=16.4ms;cat_copy=9.6ms;elementwise=3.8ms,
0,36743773622,11.517,1,0.0,1.025,laggard_gpu_busy,gemm=5.4ms;cat_copy=2.6ms;moe_permute=2.4ms,
0,36780451243,13.818,1,0.0,1.049,laggard_gpu_busy,gemm=10.7ms;moe_permute=2.5ms;cat_copy=1.3ms,
0,36947578144,16.426,1,0.0,1.02,laggard_gpu_busy,gemm=6.6ms;cat_copy=5.5ms;moe_permute=2.8ms,
0,36990999892,19.587,1,0.0,1.036,laggard_gpu_busy,gemm=13.0ms;cat_copy=3.7ms;moe_permute=2.9ms,
0,37168577513,10.281,4,0.0,1.03,laggard_gpu_busy,gemm=6.8ms;moe_permute=3.0ms;elementwise=0.8ms,
0,37215129275,12.693,4,0.0,1.031,laggard_gpu_busy,gemm=10.0ms;moe_permute=3.1ms;hybridep_meta=0.0ms,
0,37415977161,5.104,7,0.001,1.036,laggard_gpu_busy,gemm=3.0ms;moe_permute=2.3ms;hybridep_meta=0.0ms,
0,37575605182,26.713,2,0.0,1.018,laggard_gpu_busy,gemm=13.0ms;cat_copy=8.6ms;moe_permute=3.5ms,
0,37622995041,32.103,2,0.0,1.021,laggard_gpu_busy,gemm=14.5ms;cat_copy=11.6ms;moe_permute=3.4ms,
0,37802529866,25.752,1,0.0,0.809,laggard_gpu_busy,cat_copy=8.5ms;gemm=7.3ms;moe_permute=3.0ms,
0,37849193669,29.992,1,0.0,1.022,laggard_gpu_busy,gemm=14.5ms;cat_copy=9.8ms;elementwise=3.2ms,
0,38034060514,13.377,2,0.0,1.023,laggard_gpu_busy,gemm=6.2ms;cat_copy=3.0ms;moe_permute=2.8ms,
0,38076593462,16.22,2,0.0,1.047,laggard_gpu_busy,gemm=12.3ms;moe_permute=3.0ms;cat_copy=1.7ms,
0,38248927163,8.119,3,0.0,1.032,laggard_gpu_busy,gemm=5.5ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,38293567107,10.095,3,0.0,1.015,laggard_gpu_busy,gemm=7.2ms;moe_permute=3.0ms;hybridep_meta=0.0ms,
0,38456799089,13.89,7,0.0,1.019,laggard_gpu_busy,gemm=6.0ms;cat_copy=3.7ms;moe_permute=2.7ms,
0,38498675199,16.713,7,0.0,1.04,laggard_gpu_busy,gemm=12.1ms;moe_permute=2.9ms;cat_copy=2.4ms,
0,38672405362,17.904,6,0.0,1.016,laggard_gpu_busy,gemm=6.9ms;cat_copy=6.4ms;moe_permute=3.0ms,
0,38718260773,21.596,6,0.0,1.031,laggard_gpu_busy,gemm=13.7ms;cat_copy=3.9ms;moe_permute=3.2ms,
0,38883674953,33.609,4,0.0,1.026,laggard_gpu_busy,gemm=17.6ms;cat_copy=10.7ms;moe_permute=3.7ms,
0,38938755380,45.351,4,0.0,1.013,laggard_gpu_busy,cat_copy=20.4ms;gemm=17.7ms;elementwise=4.2ms,
0,39352270284,21.899,6,0.0,1.012,laggard_gpu_busy,cat_copy=8.6ms;gemm=8.0ms;moe_permute=3.4ms,
0,39404319386,28.72,6,0.0,1.024,laggard_gpu_busy,gemm=15.7ms;cat_copy=8.2ms;moe_permute=3.3ms,
0,39791639081,42.326,1,0.0,1.03,laggard_gpu_busy,gemm=22.0ms;cat_copy=14.3ms;moe_permute=4.4ms,
0,39856762748,56.087,1,0.0,1.011,laggard_gpu_busy,cat_copy=27.4ms;gemm=20.5ms;elementwise=4.9ms,
0,40069004470,14.079,1,0.0,1.019,laggard_gpu_busy,gemm=6.5ms;cat_copy=3.3ms;moe_permute=2.8ms,
0,40113025309,17.154,1,0.0,1.04,laggard_gpu_busy,gemm=13.0ms;moe_permute=3.0ms;cat_copy=1.9ms,
0,40281858933,19.244,6,0.0,1.016,laggard_gpu_busy,gemm=7.6ms;cat_copy=6.7ms;moe_permute=3.1ms,
0,40331859542,22.994,6,0.0,1.029,laggard_gpu_busy,gemm=15.3ms;cat_copy=4.4ms;moe_permute=3.3ms,
0,40511307060,19.077,7,0.0,1.017,laggard_gpu_busy,cat_copy=7.6ms;gemm=7.0ms;moe_permute=2.9ms,
0,40556935595,23.108,7,0.0,1.033,laggard_gpu_busy,gemm=14.0ms;cat_copy=4.0ms;moe_permute=3.2ms,
0,40755983686,18.352,4,0.0,1.014,laggard_gpu_busy,gemm=7.1ms;cat_copy=6.2ms;moe_permute=3.3ms,
0,40802872329,22.894,4,0.0,1.028,laggard_gpu_busy,gemm=13.9ms;cat_copy=4.4ms;moe_permute=3.2ms,
0,41184280190,16.615,7,0.0,1.016,laggard_gpu_busy,gemm=7.3ms;cat_copy=4.5ms;moe_permute=3.1ms,
0,41232938034,19.518,7,0.0,1.038,laggard_gpu_busy,gemm=14.7ms;moe_permute=3.1ms;cat_copy=2.4ms,
0,41411056388,21.016,6,0.0,1.015,laggard_gpu_busy,cat_copy=8.3ms;gemm=7.6ms;moe_permute=3.3ms,
0,41460536256,24.516,6,0.0,1.031,laggard_gpu_busy,gemm=15.0ms;cat_copy=4.3ms;moe_permute=3.3ms,
0,41646262234,11.997,1,0.0,1.025,laggard_gpu_busy,gemm=6.6ms;moe_permute=3.0ms;cat_copy=1.7ms,
0,41690608741,14.855,1,0.0,1.042,laggard_gpu_busy,gemm=12.6ms;moe_permute=2.9ms;hybridep_meta=0.0ms,
0,41862438612,13.272,5,0.0,1.024,laggard_gpu_busy,gemm=6.3ms;cat_copy=3.1ms;moe_permute=3.0ms,
0,41905763773,15.983,5,0.0,1.03,laggard_gpu_busy,gemm=12.2ms;moe_permute=2.9ms;cat_copy=1.3ms,
0,42316899717,8.957,2,0.0,1.032,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.5ms;elementwise=0.9ms,
0,42357266930,10.708,2,0.0,1.049,laggard_gpu_busy,gemm=8.5ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,42525964683,8.056,1,0.0,1.053,laggard_gpu_busy,gemm=5.7ms;moe_permute=2.8ms;hybridep_meta=0.0ms,
0,42567309826,9.818,1,0.0,1.051,laggard_gpu_busy,gemm=7.6ms;moe_permute=2.7ms;hybridep_meta=0.0ms,
0,42724941871,28.32,5,0.0,1.018,laggard_gpu_busy,gemm=12.9ms;cat_copy=10.2ms;moe_permute=3.3ms,
0,42778226490,37.021,5,0.0,1.016,laggard_gpu_busy,gemm=16.8ms;cat_copy=13.5ms;elementwise=3.9ms,
0,42960188662,16.366,6,0.0,0.972,laggard_gpu_busy,cat_copy=6.2ms;gemm=5.7ms;moe_permute=2.5ms,
0,42997940137,18.938,6,0.0,1.038,laggard_gpu_busy,gemm=10.9ms;cat_copy=3.7ms;moe_permute=2.7ms,
0,43214976734,5.769,5,0.001,1.04,laggard_gpu_busy,gemm=3.4ms;moe_permute=2.6ms;hybridep_meta=0.0ms,
0,43378380067,20.552,6,0.0,1.015,laggard_gpu_busy,cat_copy=7.9ms;gemm=7.8ms;moe_permute=3.0ms,
0,43428995093,27.715,6,0.0,1.024,laggard_gpu_busy,gemm=15.5ms;cat_copy=8.0ms;moe_permute=3.2ms,
0,43821754920,24.696,5,0.0,1.048,laggard_gpu_busy,gemm=12.8ms;cat_copy=8.2ms;moe_permute=2.9ms,
0,43867290891,29.049,5,0.0,1.021,laggard_gpu_busy,gemm=13.8ms;cat_copy=9.6ms;elementwise=3.2ms,
0,44055837471,17.09,2,0.0,1.016,laggard_gpu_busy,gemm=6.9ms;cat_copy=5.6ms;moe_permute=2.9ms,
