"ts","dur","name","category","thread_name","depth"
4482558661774246,1191,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558661774577,696,"aten::view","cpu_op","thread 168079 (python)",3
4482558661789931,63168,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558661797373,3464,"aten::t","cpu_op","thread 168079 (python)",2
4482558661798184,1772,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558661798815,882,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558661802365,35747,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558661803671,1631,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558661804141,1005,"aten::view","cpu_op","thread 168079 (python)",4
4482558661805800,29676,"aten::mm","cpu_op","thread 168079 (python)",3
4482558661836471,1015,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558661859100,23996,"_GatherFromModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558661879948,1593,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558661880376,966,"aten::view","cpu_op","thread 168079 (python)",3
4482558661893916,35671,"aten::mul","cpu_op","thread 168079 (python)",1
4482558661919153,7994,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558661941100,4257,"aten::reshape","cpu_op","thread 168079 (python)",1
4482558661941595,3552,"aten::view","cpu_op","thread 168079 (python)",2
4482558661949107,19605,"aten::add","cpu_op","thread 168079 (python)",1
4482558661961423,5715,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558661997769,926,"cudaStreamIsCapturing","cuda_runtime","thread 168079 (python)",1
4482558662034552,100926,"_Linear","cpu_op","thread 168079 (python)",1
4482558662070286,3889,"aten::empty","cpu_op","thread 168079 (python)",2
4482558662171051,10490,"_CopyToModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558662176298,2647,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558662176856,1828,"aten::view","cpu_op","thread 168079 (python)",3
4482558662196871,72978,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558662205047,4216,"aten::t","cpu_op","thread 168079 (python)",2
4482558662206108,2363,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558662207128,1049,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558662211311,37001,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558662212378,1504,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558662212770,915,"aten::view","cpu_op","thread 168079 (python)",4
4482558662214627,30659,"aten::mm","cpu_op","thread 168079 (python)",3
4482558662246437,950,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558662276458,9766,"_GatherFromModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558662282926,1667,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558662283387,1017,"aten::view","cpu_op","thread 168079 (python)",3
4482558662297930,6370,"_CopyToModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558662301890,1232,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558662302317,642,"aten::view","cpu_op","thread 168079 (python)",3
4482558662315709,55749,"LinearWithGradAccumulationAndAsyncCommunication","cpu_op","thread 168079 (python)",1
4482558662320759,3575,"aten::t","cpu_op","thread 168079 (python)",2
4482558662321612,1764,"aten::transpose","cpu_op","thread 168079 (python)",3
4482558662322448,680,"aten::as_strided","cpu_op","thread 168079 (python)",4
4482558662325768,31734,"aten::matmul","cpu_op","thread 168079 (python)",2
4482558662326636,1783,"aten::reshape","cpu_op","thread 168079 (python)",3
4482558662326988,1271,"aten::view","cpu_op","thread 168079 (python)",4
4482558662328870,26372,"aten::mm","cpu_op","thread 168079 (python)",3
4482558662356065,850,"aten::_unsafe_view","cpu_op","thread 168079 (python)",3
4482558662376399,8923,"_GatherFromModelParallelRegion","cpu_op","thread 168079 (python)",1
4482558662382371,1598,"aten::view_as","cpu_op","thread 168079 (python)",2
4482558662382781,976,"aten::view","cpu_op","thread 168079 (python)",3
4482558662391538,20939,"aten::mul","cpu_op","thread 168079 (python)",1
4482558662405004,5534,"cudaLaunchKernel","cuda_runtime","thread 168079 (python)",2
4482558662422309,3070,"aten::reshape","cpu_op","thread 168079 (python)",1
4482558662422719,2435,"aten::view","cpu_op","thread 168079 (python)",2
4482558662428006,12837,"aten::add","cpu_op","thread 168079 (python)",1
