Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,5377214,3168,1697.4,1696.0,1504,2272,125.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,5354630,171,31313.6,25344.0,10976,93089,15566.5,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT
0.0,5308350,4024,1319.2,1376.0,864,1984,217.7,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,5176232,242,21389.4,21120.5,13504,44512,3873.1,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT
0.0,5142084,2144,2398.4,2784.0,832,3776,874.2,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,5130106,30,171003.5,170897.5,128416,282595,25138.4,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT
0.0,5070028,134,37836.0,35728.0,19265,72577,11298.6,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT
0.0,5046529,260,19409.7,18464.0,11712,41345,4185.6,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT
0.0,5043757,2840,1776.0,1824.0,1152,2560,248.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,5029407,226,22254.0,21936.0,14560,36033,3718.4,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT
