category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,150,0.001,51.8,0.129
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,67,0.001,67.8,0.169
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,70,0.001,59.7,0.13
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,147,0.001,54.0,0.09
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,157,0.001,66.3,0.182
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,111,0.001,57.5,0.136
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,85,0.001,111.1,0.233
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,77,0.001,84.7,0.126
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,90,0.001,64.9,0.12
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,151,0.001,50.5,0.126
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,82,0.001,107.7,0.216
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,173,0.001,25.7,0.049
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,178,0.001,29.1,0.065
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,237,0.001,30.8,0.108
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,260,0.001,18.1,0.035
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,112,0.001,34.1,0.074
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,242,0.001,19.1,0.054
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,488,0.001,18.5,0.047
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,321,0.001,31.8,0.118
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,252,0.001,40.5,0.133
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,187,0.001,32.9,0.095
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,300,0.001,19.7,0.049
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,346,0.001,19.1,0.048
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,266,0.001,34.2,0.135
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,118,0.001,42.4,0.078
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,152,0.001,44.0,0.082
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,127,0.001,40.1,0.124
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,284,0.001,34.9,0.126
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,268,0.001,19.4,0.064
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,204,0.001,41.1,0.076
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,92,0.001,113.6,0.237
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,149,0.001,40.6,0.062
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,148,0.001,60.9,0.133
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,282,0.001,33.0,0.138
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,118,0.001,69.6,0.126
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,236,0.001,37.5,0.057
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,169,0.001,47.3,0.083
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,192,0.001,45.3,0.097
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,70,0.001,113.9,0.162
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,30,0.001,171.2,0.31
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,59,0.001,100.2,0.162
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,92,0.001,66.0,0.124
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,80,0.001,110.0,0.187
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,118,0.001,87.0,0.166
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.2,0.191
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,225.5,0.23
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,588,0.001,15.7,0.033
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,206,0.001,32.1,0.127
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,288,0.001,14.2,0.025
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,199,0.001,21.7,0.061
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,9.8,0.011
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT,166,0.001,26.0,0.067
gemm,nvjet_sm103_tst_64x48_64x16_2x1_2cta_v_bz_NNT,130,0.001,26.8,0.113
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,310,0.001,30.9,0.078
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,246,0.001,33.1,0.071
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,172,0.001,26.1,0.111
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,278,0.001,30.3,0.11
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,118,0.001,36.2,0.075
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,258,0.001,29.0,0.071
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,266,0.001,21.5,0.048
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,532,0.001,14.1,0.028
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,266,0.001,16.6,0.099
