layer,gpu,start_ns,wall_ms
layer:23,1,22348391980,116.707
layer:23,2,2597212158,150.644
layer:23,2,22348504927,116.835
layer:23,3,2597071422,150.377
layer:23,3,22348287025,116.778
layer:23,4,2597756319,149.195
layer:23,4,22348280678,116.955
layer:23,5,2597185342,150.536
layer:23,5,22348477771,116.833
layer:23,6,2597394240,151.306
layer:23,6,22348708939,116.32
layer:23,7,2598311292,148.944
layer:23,7,22348388987,116.885
layer:24,0,2747106546,84.235
layer:24,0,22151213919,109.911
layer:24,1,2747033383,84.552
layer:24,1,22151581205,109.952
layer:24,2,2747999144,84.205
layer:24,2,22151587859,110.084
layer:24,3,2747583752,84.267
layer:24,3,22151712620,109.886
layer:24,4,2747087124,84.823
layer:24,4,22151470782,110.167
layer:24,5,2747861499,83.792
layer:24,5,22151578182,110.041
layer:24,6,2748882973,83.438
layer:24,6,22151630191,109.855
layer:24,7,2747399702,84.282
layer:24,7,22153048103,108.556
layer:25,0,2831476279,67.518
layer:25,0,21958241533,110.711
layer:25,1,2831728598,70.618
layer:25,1,21958535123,111.733
layer:25,2,2832343266,67.039
layer:25,2,21958249308,111.987
layer:25,3,2831985801,66.928
layer:25,3,21958452640,111.376
layer:25,4,2832047779,67.582
layer:25,4,21958322595,111.611
layer:25,5,2831802785,68.158
layer:25,5,21958517054,111.603
layer:25,6,2832462122,67.034
layer:25,6,21958363151,111.511
layer:25,7,2831820150,68.077
layer:25,7,21958462158,111.517
layer:26,0,2899138463,67.412
layer:26,0,21759403473,108.807
layer:26,1,2902516507,64.472
layer:26,1,21760853524,107.726
layer:26,2,2899514817,67.096
layer:26,2,21760032748,108.698
layer:26,3,2899046175,66.967
layer:26,3,21761234821,107.628
layer:26,4,2899770472,67.07
layer:26,4,21760178830,108.614
layer:26,5,2900108097,66.448
layer:26,5,21760368483,108.42
layer:26,6,2899629151,67.447
layer:26,6,21760110431,108.458
layer:26,7,2900056426,65.874
layer:26,7,21760259820,108.586
layer:27,0,2966684491,136.632
layer:27,0,21554552658,109.194
layer:27,1,2967137543,136.192
layer:27,1,21555337780,109.335
layer:27,2,2966744614,136.259
layer:27,2,21555194800,109.488
layer:27,3,2966160794,144.322
layer:27,3,21555237589,109.498
layer:27,4,2966987286,136.562
layer:27,4,21555258588,109.661
layer:27,5,2966702582,136.703
layer:27,5,21555398883,109.428
layer:27,6,2967222399,136.588
layer:27,6,21555247479,109.333
layer:27,7,2966082403,136.504
layer:27,7,21555322371,109.578
layer:28,0,3103463168,71.022
layer:28,0,21348353056,110.533
layer:28,1,3103481702,70.367
layer:28,1,21349267122,109.768
layer:28,2,3103162158,71.288
layer:28,2,21349230214,110.096
layer:28,3,3110623751,63.875
layer:28,3,21349135638,110.111
layer:28,4,3103695166,71.452
layer:28,4,21349161623,110.368
layer:28,5,3103552896,71.167
layer:28,5,21349640713,109.774
layer:28,6,3103963156,70.419
layer:28,6,21349255019,110.009
layer:28,7,3102723429,71.682
layer:28,7,21349141701,110.123
layer:29,0,3174627012,72.27
layer:29,0,21136447509,107.147
layer:29,1,3173999989,73.376
layer:29,1,21137101970,107.437
layer:29,2,3174594096,72.445
layer:29,2,21137132790,107.585
layer:29,3,3174636703,72.401
layer:29,3,21137408758,107.332
layer:29,4,3175289058,70.963
layer:29,4,21137598670,107.305
layer:29,5,3174860892,71.918
layer:29,5,21137522687,107.396
layer:29,6,3174528384,73.41
layer:29,6,21137224099,107.338
layer:29,7,3174549765,73.915
layer:29,7,21137392633,107.518
layer:30,0,3247036484,75.771
layer:30,0,20910040896,107.988
layer:30,1,3247517451,75.457
layer:30,1,20910779157,107.484
layer:30,2,3247192271,75.552
layer:30,2,20910826525,107.622
layer:30,3,3247184336,76.331
layer:30,3,20910904456,107.633
layer:30,4,3246394805,77.314
layer:30,4,20910648599,108.32
layer:30,5,3246930243,76.414
layer:30,5,20911037093,107.617
layer:30,6,3248076994,75.881
layer:30,6,20910885916,107.567
layer:30,7,3248614606,74.253
layer:30,7,20910916544,107.545
layer:31,0,3322942290,149.981
layer:31,0,20694325442,113.475
layer:31,1,3323122555,149.811
layer:31,1,20695039479,113.55
layer:31,2,3322877954,150.183
layer:31,2,20695148067,114.096
layer:31,3,3323652407,149.269
layer:31,3,20695160305,113.563
layer:31,4,3323857143,150.099
layer:31,4,20695001064,113.68
layer:31,5,3323480933,150.122
layer:31,5,20695320699,113.683
layer:31,6,3324103257,148.84
layer:31,6,20695425619,113.502
layer:31,7,3323007623,152.68
layer:31,7,20695272991,113.602
layer:32,0,3473064543,73.626
layer:32,0,20481955377,107.921
layer:32,1,3473081972,73.692
layer:32,1,20482555373,107.755
layer:32,2,3473203770,73.741
layer:32,2,20482912230,107.663
layer:32,3,3473056953,74.354
layer:32,3,20482617031,107.763
layer:32,4,3474108870,72.953
layer:32,4,20482559655,107.845
layer:32,5,3473740650,73.469
layer:32,5,20482786204,107.814
layer:32,6,3473081332,74.722
layer:32,6,20482662803,107.845
layer:32,7,3475833913,72.531
layer:32,7,20482776716,107.812
layer:33,0,3546822778,76.236
layer:33,0,20267649070,114.181
layer:33,1,3546924342,75.917
