phase,gpu,metric,avg
backward,3,Tensor Active [Throughput %],26.6
backward,3,DRAM Read Bandwidth [Throughput %],10.9
backward,3,DRAM Write Bandwidth [Throughput %],7.1
backward,3,NVLink RX Requests Protocol Data [Throughput %],0.69
backward,3,NVLink RX Requests User Data [Throughput %],1.93
backward,3,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,3,NVLink RX Responses User Data [Throughput %],1.8
backward,3,NVLink TX Requests Protocol Data [Throughput %],0.81
backward,3,NVLink TX Requests User Data [Throughput %],1.9
backward,3,NVLink TX Responses Protocol Data [Throughput %],0.27
backward,3,NVLink TX Responses User Data [Throughput %],1.71
backward,4,GR Active [Throughput %],98.65
backward,4,SMs Active [Throughput %],71.26
backward,4,SM Issue [Throughput %],17.98
backward,4,Tensor Active [Throughput %],26.37
backward,4,DRAM Read Bandwidth [Throughput %],10.9
backward,4,DRAM Write Bandwidth [Throughput %],7.08
backward,4,NVLink RX Requests Protocol Data [Throughput %],0.66
backward,4,NVLink RX Requests User Data [Throughput %],1.88
backward,4,NVLink RX Responses Protocol Data [Throughput %],0.41
backward,4,NVLink RX Responses User Data [Throughput %],1.81
backward,4,NVLink TX Requests Protocol Data [Throughput %],0.82
backward,4,NVLink TX Requests User Data [Throughput %],1.9
backward,4,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,4,NVLink TX Responses User Data [Throughput %],1.64
backward,5,GR Active [Throughput %],98.97
backward,5,SMs Active [Throughput %],70.85
backward,5,SM Issue [Throughput %],17.84
backward,5,Tensor Active [Throughput %],25.99
backward,5,DRAM Read Bandwidth [Throughput %],10.86
backward,5,DRAM Write Bandwidth [Throughput %],7.05
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.66
backward,5,NVLink RX Requests User Data [Throughput %],1.85
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.41
backward,5,NVLink RX Responses User Data [Throughput %],1.82
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.82
backward,5,NVLink TX Requests User Data [Throughput %],1.9
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,5,NVLink TX Responses User Data [Throughput %],1.62
backward,6,GR Active [Throughput %],98.9
backward,6,SMs Active [Throughput %],73.38
backward,6,SM Issue [Throughput %],18.48
backward,6,Tensor Active [Throughput %],27.63
backward,6,DRAM Read Bandwidth [Throughput %],11.34
backward,6,DRAM Write Bandwidth [Throughput %],7.33
backward,6,NVLink RX Requests Protocol Data [Throughput %],0.74
backward,6,NVLink RX Requests User Data [Throughput %],2.07
backward,6,NVLink RX Responses Protocol Data [Throughput %],0.38
backward,6,NVLink RX Responses User Data [Throughput %],1.79
backward,6,NVLink TX Requests Protocol Data [Throughput %],0.8
backward,6,NVLink TX Requests User Data [Throughput %],1.89
backward,6,NVLink TX Responses Protocol Data [Throughput %],0.28
backward,6,NVLink TX Responses User Data [Throughput %],1.84
backward,7,GR Active [Throughput %],99.18
backward,7,SMs Active [Throughput %],70.4
backward,7,SM Issue [Throughput %],17.72
backward,7,Tensor Active [Throughput %],25.7
backward,7,DRAM Read Bandwidth [Throughput %],10.77
backward,7,DRAM Write Bandwidth [Throughput %],7.03
backward,7,NVLink RX Requests Protocol Data [Throughput %],0.65
backward,7,NVLink RX Requests User Data [Throughput %],1.85
backward,7,NVLink RX Responses Protocol Data [Throughput %],0.41
backward,7,NVLink RX Responses User Data [Throughput %],1.82
backward,7,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,7,NVLink TX Requests User Data [Throughput %],1.9
backward,7,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,7,NVLink TX Responses User Data [Throughput %],1.61
optimizer,0,GR Active [Throughput %],36.73
optimizer,0,SMs Active [Throughput %],10.0
optimizer,0,SM Issue [Throughput %],1.28
optimizer,0,Tensor Active [Throughput %],0.0
optimizer,0,DRAM Read Bandwidth [Throughput %],1.93
optimizer,0,DRAM Write Bandwidth [Throughput %],1.68
optimizer,0,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Requests User Data [Throughput %],0.0
optimizer,0,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Responses User Data [Throughput %],0.0
optimizer,0,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Requests User Data [Throughput %],0.0
optimizer,0,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Responses User Data [Throughput %],0.0
optimizer,1,GR Active [Throughput %],34.19
optimizer,1,SMs Active [Throughput %],10.0
optimizer,1,SM Issue [Throughput %],1.29
optimizer,1,Tensor Active [Throughput %],0.0
optimizer,1,DRAM Read Bandwidth [Throughput %],1.97
optimizer,1,DRAM Write Bandwidth [Throughput %],1.61
optimizer,1,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Requests User Data [Throughput %],0.0
optimizer,1,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Responses User Data [Throughput %],0.0
optimizer,1,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Requests User Data [Throughput %],0.0
optimizer,1,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Responses User Data [Throughput %],0.0
optimizer,2,GR Active [Throughput %],34.12
optimizer,2,SMs Active [Throughput %],10.0
optimizer,2,SM Issue [Throughput %],1.3
optimizer,2,Tensor Active [Throughput %],0.0
optimizer,2,DRAM Read Bandwidth [Throughput %],1.88
optimizer,2,DRAM Write Bandwidth [Throughput %],1.62
optimizer,2,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,2,NVLink RX Requests User Data [Throughput %],0.01
optimizer,2,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,2,NVLink RX Responses User Data [Throughput %],0.0
optimizer,2,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,2,NVLink TX Requests User Data [Throughput %],0.0
optimizer,2,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,2,NVLink TX Responses User Data [Throughput %],0.0
optimizer,3,GR Active [Throughput %],36.81
optimizer,3,SMs Active [Throughput %],10.01
optimizer,3,SM Issue [Throughput %],1.31
optimizer,3,Tensor Active [Throughput %],0.0
optimizer,3,DRAM Read Bandwidth [Throughput %],1.82
optimizer,3,DRAM Write Bandwidth [Throughput %],1.66
optimizer,3,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,3,NVLink RX Requests User Data [Throughput %],0.01
optimizer,3,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,3,NVLink RX Responses User Data [Throughput %],0.0
optimizer,3,NVLink TX Requests Protocol Data [Throughput %],0.01
optimizer,3,NVLink TX Requests User Data [Throughput %],0.01
optimizer,3,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,3,NVLink TX Responses User Data [Throughput %],0.0
optimizer,4,GR Active [Throughput %],32.23
optimizer,4,SMs Active [Throughput %],9.98
optimizer,4,SM Issue [Throughput %],1.26
optimizer,4,Tensor Active [Throughput %],0.0
optimizer,4,DRAM Read Bandwidth [Throughput %],1.97
optimizer,4,DRAM Write Bandwidth [Throughput %],1.65
optimizer,4,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,4,NVLink RX Requests User Data [Throughput %],0.0
