category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,131,0.001,50.9,0.129
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,146,0.001,57.3,0.142
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,382,0.001,23.5,0.096
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,142,0.001,56.6,0.136
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,57,0.001,76.1,0.155
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,96,0.001,100.8,0.212
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,148,0.001,55.3,0.134
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,110,0.001,56.1,0.15
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,83,0.001,110.8,0.238
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,81,0.001,85.2,0.131
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,90,0.001,63.4,0.135
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,51,0.001,90.0,0.163
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,52,0.001,103.0,0.228
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,161,0.001,51.5,0.128
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,86,0.001,110.0,0.202
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,167,0.001,25.7,0.054
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,150,0.001,28.9,0.107
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,240,0.001,33.2,0.123
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,246,0.001,18.4,0.044
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,230,0.001,19.8,0.043
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,504,0.001,18.6,0.048
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,318,0.001,32.3,0.075
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT,188,0.001,32.9,0.11
gemm,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT,310,0.001,20.0,0.049
gemm,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT,306,0.001,19.0,0.037
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT,265,0.001,34.7,0.09
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_NNT,111,0.001,40.9,0.122
gemm,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT,130,0.001,43.6,0.084
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT,131,0.001,39.6,0.126
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT,292,0.001,19.8,0.043
gemm,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT,220,0.001,40.1,0.127
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,76,0.001,115.9,0.226
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT,145,0.001,40.6,0.063
gemm,nvjet_sm103_tst_192x144_64x6_2x2_2cta_h_bz_TNT,176,0.001,60.6,0.093
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT,113,0.001,70.3,0.121
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,226,0.001,37.9,0.063
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,161,0.001,48.2,0.104
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,184,0.001,45.7,0.109
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,73,0.001,115.7,0.182
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,42,0.001,176.5,0.2
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,60,0.001,96.7,0.146
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,82,0.001,66.6,0.121
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,81,0.001,110.9,0.212
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,120,0.001,90.5,0.18
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.1,0.191
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,227.1,0.23
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,582,0.001,15.9,0.031
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,218,0.001,33.3,0.121
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,296,0.001,14.4,0.028
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,356,0.001,30.1,0.123
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,178,0.001,21.1,0.063
