Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.9,102350019,184,556250.1,230593.5,13952,3554768,678627.1,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT
0.7,81955508,360,227654.2,3472.0,1824,1391271,382993.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.7,75923707,48,1581743.9,1675240.0,1303047,1785964,188929.1,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT
0.6,68463914,32,2139497.3,2182009.0,1191813,3170640,946202.7,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.6,64016630,208,307772.3,21584.5,2592,1234919,448326.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.6,61412474,968,63442.6,33584.0,1920,380580,75523.1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.5,58072816,112,518507.3,206497.0,31424,2719122,878302.0,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT
0.5,50065987,352,142232.9,88864.5,7296,367426,145699.2,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.4,49267618,432,114045.4,64320.5,1472,384706,132310.3,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,34779815,96,362289.7,541699.0,1600,545604,256197.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,31152051,24,1298002.1,623876.5,612163,2671996,976986.5,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT
0.3,29658190,48,617879.0,524418.0,137121,1891145,403163.6,_sort_chunks_by_map_kernel
0.3,29426445,16,1839152.8,1435015.5,222369,3721681,1205395.5,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.3,28223046,280,100796.6,10496.0,9952,470530,153708.1,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.2,25296945,16,1581059.1,1567384.0,1561200,1685963,31997.4,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, long, long, long)::[lambda(int) (instance 1)]>(long, T3)"
0.2,25274038,600,42123.4,2080.0,1728,454147,94854.1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,24398411,32,762450.3,762132.0,759557,766626,1763.8,element_mul_kernel
0.2,24252974,32,757905.4,757524.5,756035,761284,1126.6,cross_entropy_kernel
