layer,gpu,start_ns,wall_ms
layer:14,3,1844741596,86.355
layer:14,3,22651514914,109.719
layer:14,4,1843041929,86.46
layer:14,4,22648946349,111.859
layer:14,5,1843448879,85.912
layer:14,5,22648363968,112.414
layer:14,6,1843109974,86.442
layer:14,6,22649268309,110.003
layer:14,7,1842769062,86.542
layer:14,7,22647236490,113.673
layer:15,0,1929500333,151.626
layer:15,0,22441529690,113.36
layer:15,1,1929875101,152.4
layer:15,1,22443384690,112.108
layer:15,2,1930513161,151.691
layer:15,2,22442617574,113.471
layer:15,3,1931240142,151.515
layer:15,3,22442461221,113.056
layer:15,4,1929642803,151.614
layer:15,4,22442366547,113.101
layer:15,5,1929500614,152.14
layer:15,5,22442175771,113.097
layer:15,6,1929687652,151.608
layer:15,6,22442504455,112.896
layer:15,7,1929448362,151.718
layer:15,7,22442299904,112.701
layer:16,0,2081272590,69.326
layer:16,0,22225906400,104.555
layer:16,1,2082425733,69.321
layer:16,1,22226660347,104.765
layer:16,2,2082353542,69.782
layer:16,2,22227195174,105.601
layer:16,3,2082892227,69.063
layer:16,3,22226013855,105.471
layer:16,4,2081397120,69.08
layer:16,4,22225532539,105.816
layer:16,5,2081784797,68.858
layer:16,5,22225937331,105.069
layer:16,6,2081442351,70.019
layer:16,6,22225275391,106.22
layer:16,7,2081310149,70.302
layer:16,7,22225162532,106.745
layer:17,0,2150739179,79.693
layer:17,0,22009346683,110.206
layer:17,1,2151897720,79.626
layer:17,1,22010061102,107.848
layer:17,2,2152278593,80.071
layer:17,2,22010027710,107.832
layer:17,3,2152120142,80.4
layer:17,3,22009893119,108.287
layer:17,4,2150616242,79.982
layer:17,4,22017168371,100.653
layer:17,5,2150787381,80.218
layer:17,5,22009879202,108.131
layer:17,6,2151595784,79.276
layer:17,6,22022912692,95.169
layer:17,7,2151751486,78.207
layer:17,7,22009586946,107.585
layer:18,0,2230573839,76.603
layer:18,0,21779617235,104.69
layer:18,1,2231671073,74.858
layer:18,1,21780278921,104.809
layer:18,2,2232502921,75.219
layer:18,2,21780302034,105.522
layer:18,3,2232680612,75.199
layer:18,3,21780300449,104.954
layer:18,4,2230740795,75.753
