category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,185,0.001,45.9,0.111
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,220,0.001,22.3,0.051
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,143,0.001,48.9,0.133
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,132,0.001,58.2,0.094
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,402,0.001,23.3,0.111
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,142,0.001,53.6,0.093
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,68,0.001,77.6,0.19
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,114,0.001,99.4,0.196
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,149,0.001,56.5,0.098
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,107,0.001,55.3,0.104
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,91,0.001,112.0,0.235
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,172,0.001,24.4,0.048
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,91,0.001,84.2,0.124
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,98,0.001,66.1,0.122
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,171,0.001,51.6,0.114
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,96,0.001,107.8,0.198
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,171,0.001,25.7,0.071
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,136,0.001,30.5,0.104
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,255,0.001,31.3,0.114
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,258,0.001,18.3,0.047
