phase,gpu,metric,avg
backward,0,NVLink TX Responses Protocol Data [Throughput %],0.51
backward,0,NVLink TX Responses User Data [Throughput %],1.8
backward,1,GR Active [Throughput %],97.73
backward,1,SMs Active [Throughput %],70.66
backward,1,SM Issue [Throughput %],18.63
backward,1,Tensor Active [Throughput %],24.72
backward,1,DRAM Read Bandwidth [Throughput %],11.12
backward,1,DRAM Write Bandwidth [Throughput %],7.49
backward,1,NVLink RX Requests Protocol Data [Throughput %],0.62
backward,1,NVLink RX Requests User Data [Throughput %],1.75
backward,1,NVLink RX Responses Protocol Data [Throughput %],0.42
backward,1,NVLink RX Responses User Data [Throughput %],1.73
backward,1,NVLink TX Requests Protocol Data [Throughput %],0.8
backward,1,NVLink TX Requests User Data [Throughput %],1.78
backward,1,NVLink TX Responses Protocol Data [Throughput %],0.24
backward,1,NVLink TX Responses User Data [Throughput %],1.52
backward,2,GR Active [Throughput %],99.23
backward,2,SMs Active [Throughput %],69.87
backward,2,SM Issue [Throughput %],18.39
backward,2,Tensor Active [Throughput %],24.14
backward,2,DRAM Read Bandwidth [Throughput %],11.16
backward,2,DRAM Write Bandwidth [Throughput %],7.51
backward,2,NVLink RX Requests Protocol Data [Throughput %],0.63
backward,2,NVLink RX Requests User Data [Throughput %],1.78
backward,2,NVLink RX Responses Protocol Data [Throughput %],0.43
backward,2,NVLink RX Responses User Data [Throughput %],1.73
backward,2,NVLink TX Requests Protocol Data [Throughput %],0.82
backward,2,NVLink TX Requests User Data [Throughput %],1.76
backward,2,NVLink TX Responses Protocol Data [Throughput %],0.24
backward,2,NVLink TX Responses User Data [Throughput %],1.55
backward,3,GR Active [Throughput %],99.21
backward,3,SMs Active [Throughput %],70.56
backward,3,SM Issue [Throughput %],18.53
backward,3,Tensor Active [Throughput %],24.58
backward,3,DRAM Read Bandwidth [Throughput %],11.25
backward,3,DRAM Write Bandwidth [Throughput %],7.56
backward,3,NVLink RX Requests Protocol Data [Throughput %],0.64
backward,3,NVLink RX Requests User Data [Throughput %],1.8
backward,3,NVLink RX Responses Protocol Data [Throughput %],0.43
backward,3,NVLink RX Responses User Data [Throughput %],1.73
backward,3,NVLink TX Requests Protocol Data [Throughput %],0.81
backward,3,NVLink TX Requests User Data [Throughput %],1.77
backward,3,NVLink TX Responses Protocol Data [Throughput %],0.25
backward,3,NVLink TX Responses User Data [Throughput %],1.57
backward,4,GR Active [Throughput %],99.27
backward,4,SMs Active [Throughput %],70.1
backward,4,SM Issue [Throughput %],18.43
backward,4,Tensor Active [Throughput %],24.33
backward,4,DRAM Read Bandwidth [Throughput %],11.19
backward,4,DRAM Write Bandwidth [Throughput %],7.51
backward,4,NVLink RX Requests Protocol Data [Throughput %],0.62
backward,4,NVLink RX Requests User Data [Throughput %],1.75
backward,4,NVLink RX Responses Protocol Data [Throughput %],0.43
backward,4,NVLink RX Responses User Data [Throughput %],1.74
backward,4,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,4,NVLink TX Requests User Data [Throughput %],1.78
backward,4,NVLink TX Responses Protocol Data [Throughput %],0.24
backward,4,NVLink TX Responses User Data [Throughput %],1.52
backward,5,GR Active [Throughput %],99.25
backward,5,SMs Active [Throughput %],69.15
backward,5,SM Issue [Throughput %],18.19
backward,5,Tensor Active [Throughput %],23.68
backward,5,DRAM Read Bandwidth [Throughput %],11.11
backward,5,DRAM Write Bandwidth [Throughput %],7.46
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.61
backward,5,NVLink RX Requests User Data [Throughput %],1.72
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.44
backward,5,NVLink RX Responses User Data [Throughput %],1.75
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,5,NVLink TX Requests User Data [Throughput %],1.77
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.24
backward,5,NVLink TX Responses User Data [Throughput %],1.49
backward,6,GR Active [Throughput %],95.34
backward,6,SMs Active [Throughput %],73.09
backward,6,SM Issue [Throughput %],19.15
backward,6,Tensor Active [Throughput %],25.89
backward,6,DRAM Read Bandwidth [Throughput %],11.77
backward,6,DRAM Write Bandwidth [Throughput %],7.92
backward,6,NVLink RX Requests Protocol Data [Throughput %],0.68
backward,6,NVLink RX Requests User Data [Throughput %],1.92
backward,6,NVLink RX Responses Protocol Data [Throughput %],0.36
backward,6,NVLink RX Responses User Data [Throughput %],1.66
backward,6,NVLink TX Requests Protocol Data [Throughput %],0.75
backward,6,NVLink TX Requests User Data [Throughput %],1.75
backward,6,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,6,NVLink TX Responses User Data [Throughput %],1.69
backward,7,GR Active [Throughput %],99.32
backward,7,SMs Active [Throughput %],68.98
backward,7,SM Issue [Throughput %],18.12
backward,7,Tensor Active [Throughput %],23.67
backward,7,DRAM Read Bandwidth [Throughput %],11.04
backward,7,DRAM Write Bandwidth [Throughput %],7.42
backward,7,NVLink RX Requests Protocol Data [Throughput %],0.61
backward,7,NVLink RX Requests User Data [Throughput %],1.72
backward,7,NVLink RX Responses Protocol Data [Throughput %],0.44
backward,7,NVLink RX Responses User Data [Throughput %],1.75
backward,7,NVLink TX Requests Protocol Data [Throughput %],0.83
backward,7,NVLink TX Requests User Data [Throughput %],1.77
backward,7,NVLink TX Responses Protocol Data [Throughput %],0.24
backward,7,NVLink TX Responses User Data [Throughput %],1.49
optimizer,0,GR Active [Throughput %],29.76
optimizer,0,SMs Active [Throughput %],10.6
optimizer,0,SM Issue [Throughput %],1.31
optimizer,0,Tensor Active [Throughput %],0.0
optimizer,0,DRAM Read Bandwidth [Throughput %],1.88
optimizer,0,DRAM Write Bandwidth [Throughput %],1.57
optimizer,0,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,0,NVLink RX Requests User Data [Throughput %],0.01
optimizer,0,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Responses User Data [Throughput %],0.0
optimizer,0,NVLink TX Requests Protocol Data [Throughput %],0.01
optimizer,0,NVLink TX Requests User Data [Throughput %],0.01
optimizer,0,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Responses User Data [Throughput %],0.0
optimizer,1,GR Active [Throughput %],33.07
optimizer,1,SMs Active [Throughput %],10.65
optimizer,1,SM Issue [Throughput %],1.35
optimizer,1,Tensor Active [Throughput %],0.0
optimizer,1,DRAM Read Bandwidth [Throughput %],1.91
optimizer,1,DRAM Write Bandwidth [Throughput %],1.62
optimizer,1,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,1,NVLink RX Requests User Data [Throughput %],0.01
optimizer,1,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Responses User Data [Throughput %],0.0
optimizer,1,NVLink TX Requests Protocol Data [Throughput %],0.01
optimizer,1,NVLink TX Requests User Data [Throughput %],0.01
optimizer,1,NVLink TX Responses Protocol Data [Throughput %],0.01
