waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,7804503351,9.327,6,0.0,1.036,laggard_gpu_busy,gemm=6.7ms;moe_permute=2.9ms;elementwise=0.1ms,forward|moe
0,7867412636,33.633,1,0.0,1.03,laggard_gpu_busy,gemm=17.6ms;elementwise=9.1ms;moe_permute=3.5ms,forward|lm_head
0,8159179717,293.208,1,0.0,0.122,laggard_gpu_idle(host),gemm=17.2ms;elementwise=10.6ms;activation=3.5ms,backward|moe|recompute
0,8475291635,44.125,1,0.0,1.012,laggard_gpu_busy,gemm=18.6ms;elementwise=10.9ms;cat_copy=7.9ms,backward|recompute
0,8668837666,9.076,6,0.0,1.032,laggard_gpu_busy,gemm=6.5ms;moe_permute=2.9ms,backward|recompute
0,8715575439,11.662,6,0.0,1.038,laggard_gpu_busy,gemm=9.0ms;moe_permute=3.1ms,backward|recompute
0,8867827801,707.953,6,0.0,0.049,laggard_gpu_idle(host),gemm=19.1ms;elementwise=8.6ms;moe_permute=3.2ms,backward|moe|recompute
0,9594123831,44.183,6,0.0,1.015,laggard_gpu_busy,gemm=18.3ms;elementwise=10.1ms;cat_copy=9.6ms,backward|recompute
0,9792889260,8.419,4,0.0,1.041,laggard_gpu_busy,gemm=6.1ms;moe_permute=2.6ms,backward|recompute
0,9836004041,10.298,4,0.0,1.049,laggard_gpu_busy,gemm=8.1ms;moe_permute=2.7ms,backward|recompute
0,9982910092,21.685,5,0.0,1.011,laggard_gpu_busy,gemm=9.5ms;elementwise=6.3ms;moe_permute=2.8ms,backward|recompute
0,10025167294,26.119,5,0.0,1.025,laggard_gpu_busy,gemm=12.5ms;elementwise=6.5ms;moe_permute=3.0ms,backward|recompute
0,10394673106,22.509,1,0.0,1.045,laggard_gpu_busy,gemm=11.7ms;elementwise=6.2ms;moe_permute=2.7ms,backward|recompute
0,10436795170,26.751,1,0.0,1.027,laggard_gpu_busy,gemm=12.9ms;elementwise=7.3ms;moe_permute=2.8ms,backward|recompute
0,10619716484,17.098,6,0.0,1.021,laggard_gpu_busy,gemm=6.3ms;elementwise=6.2ms;moe_permute=2.8ms,backward|recompute
0,10662418140,20.346,6,0.0,1.034,laggard_gpu_busy,gemm=12.5ms;moe_permute=3.0ms;activation=2.6ms,backward|recompute
0,10831905707,16.497,3,0.0,1.019,laggard_gpu_busy,gemm=6.6ms;elementwise=6.5ms;moe_permute=2.8ms,backward|recompute
0,10875785683,20.317,3,0.0,1.036,laggard_gpu_busy,gemm=13.2ms;moe_permute=3.1ms;activation=2.9ms,backward|recompute
0,11242107132,10.729,4,0.0,1.028,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.7ms;elementwise=1.6ms,backward|recompute
0,11283735334,12.857,4,0.0,1.052,laggard_gpu_busy,gemm=10.8ms;moe_permute=2.7ms,backward|recompute
0,11443907449,17.68,6,0.0,1.015,laggard_gpu_busy,elementwise=6.3ms;gemm=6.3ms;moe_permute=2.8ms,backward|recompute
0,11487070359,21.543,6,0.0,1.028,laggard_gpu_busy,gemm=12.5ms;moe_permute=3.2ms;activation=2.7ms,backward|recompute
0,11658693250,23.347,1,0.0,1.016,laggard_gpu_busy,gemm=8.4ms;elementwise=8.0ms;moe_permute=3.5ms,backward|recompute
0,11710645269,33.195,1,0.0,1.022,laggard_gpu_busy,gemm=16.3ms;cat_copy=6.5ms;elementwise=3.9ms,backward|recompute
0,12080377996,12.474,1,0.0,1.022,laggard_gpu_busy,gemm=5.5ms;elementwise=4.3ms;moe_permute=2.3ms,backward|recompute
0,12117649724,15.043,1,0.0,1.049,laggard_gpu_busy,gemm=11.0ms;moe_permute=2.5ms;activation=1.4ms,backward|recompute
0,12281157083,17.338,1,0.0,1.015,laggard_gpu_busy,gemm=6.7ms;elementwise=6.3ms;moe_permute=3.0ms,backward|recompute
0,12324987203,21.823,1,0.0,1.031,laggard_gpu_busy,gemm=13.1ms;moe_permute=3.1ms;activation=2.9ms,backward|recompute
0,12508679886,10.983,4,0.0,1.026,laggard_gpu_busy,gemm=7.0ms;moe_permute=2.9ms;cat_copy=0.8ms,backward|recompute
0,12556083237,13.039,4,0.0,1.032,laggard_gpu_busy,gemm=10.4ms;moe_permute=3.0ms,backward|recompute
0,12890819978,26.074,2,0.0,1.015,laggard_gpu_busy,gemm=12.6ms;elementwise=7.2ms;moe_permute=3.1ms,backward|recompute
0,12937614297,30.405,2,0.0,1.02,laggard_gpu_busy,gemm=14.3ms;elementwise=8.3ms;moe_permute=3.2ms,backward|recompute
0,13112104202,26.012,1,0.0,1.015,laggard_gpu_busy,gemm=13.1ms;elementwise=7.0ms;moe_permute=2.9ms,backward|recompute
