category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,280,0.002,59.0,0.135
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,172,0.002,68.2,0.144
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,252,0.002,61.3,0.143
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,446,0.002,31.6,0.129
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,430,0.002,37.1,0.097
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,342,0.002,30.5,0.086
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,302,0.002,36.1,0.093
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,258.9,0.261
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,336,0.002,53.3,0.178
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,190,0.002,85.6,0.169
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,79,0.002,244.3,0.289
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,54,0.002,248.0,0.348
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,126,0.002,100.5,0.115
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,199.9,0.204
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.2,0.023
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,488,0.002,31.6,0.12
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,392,0.002,29.5,0.101
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,433,0.002,26.2,0.106
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,502,0.002,30.9,0.121
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,542,0.002,23.4,0.117
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1104,0.002,16.3,0.04
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,118,0.001,41.8,0.125
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,138,0.001,44.8,0.136
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,116,0.001,34.2,0.083
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,232,0.001,21.0,0.041
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,133,0.001,31.5,0.08
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,266,0.001,20.0,0.059
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,131,0.001,37.6,0.074
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,182,0.001,41.3,0.078
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,110,0.001,44.6,0.08
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,204,0.001,21.7,0.039
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,244,0.001,20.4,0.033
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,204,0.001,22.2,0.036
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,102,0.001,46.0,0.127
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,124,0.001,51.1,0.13
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,190,0.001,36.7,0.124
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,200,0.001,21.1,0.048
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,95,0.001,45.3,0.116
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,63,0.001,73.6,0.089
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,126,0.001,37.8,0.052
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,169,0.001,46.7,0.144
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,224,0.001,22.2,0.048
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,130,0.001,49.0,0.089
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,226,0.001,52.1,0.128
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,178,0.001,59.6,0.145
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,394,0.001,23.2,0.122
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,159,0.001,53.9,0.089
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,58,0.001,78.7,0.149
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,110,0.001,98.4,0.178
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,156,0.001,58.0,0.142
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,112,0.001,55.8,0.136
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,85,0.001,109.0,0.15
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,163,0.001,25.2,0.052
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,85,0.001,84.3,0.128
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,110,0.001,64.7,0.125
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,151,0.001,51.5,0.118
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,100,0.001,107.0,0.148
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,171,0.001,25.9,0.048
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,152,0.001,28.0,0.064
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,240,0.001,31.8,0.096
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,286,0.001,17.9,0.039
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,122,0.001,35.9,0.077
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,228,0.001,19.4,0.032
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,500,0.001,18.7,0.057
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT,331,0.001,31.5,0.075
