layer,gpu,start_ns,wall_ms
layer:37,1,21100228199,118.463
layer:37,2,5445765076,77.902
layer:37,2,21099732608,118.428
layer:37,3,5446693592,78.056
layer:37,3,21100287610,118.106
layer:37,4,5446183614,77.512
layer:37,4,21099799345,118.582
layer:37,5,5453374584,71.107
layer:37,5,21099846346,118.639
layer:37,6,5446463157,78.202
layer:37,6,21099657190,118.433
layer:37,7,5446262577,78.233
layer:37,7,21099791925,118.545
layer:38,0,5523990772,93.296
layer:38,0,20886598711,119.677
layer:38,1,5524195367,92.846
layer:38,1,20887524991,119.134
layer:38,2,5523803573,93.525
layer:38,2,20887392230,119.343
layer:38,3,5524912248,93.117
layer:38,3,20887722525,119.292
layer:38,4,5523856442,93.459
layer:38,4,20887184628,119.362
layer:38,5,5524637282,92.671
layer:38,5,20887306289,119.488
layer:38,6,5524826045,92.288
layer:38,6,20887398751,119.085
layer:38,7,5524631487,93.293
layer:38,7,20887369625,119.373
layer:39,0,5617422620,151.053
layer:39,0,20672714219,123.785
layer:39,1,5617172412,159.705
layer:39,1,20673523111,123.446
layer:39,2,5617473755,159.986
layer:39,2,20673305004,123.737
layer:39,3,5618168112,158.538
layer:39,3,20673689311,123.422
layer:39,4,5617469812,151.276
layer:39,4,20673241915,123.395
layer:39,5,5617457402,150.563
layer:39,5,20673324380,123.687
layer:39,6,5617284392,150.993
layer:39,6,20673148821,123.465
layer:39,7,5618060199,149.612
layer:39,7,20673440544,123.478
layer:40,0,5768629879,81.387
layer:40,0,20440973928,116.506
layer:40,1,5777021611,72.534
layer:40,1,20442049771,115.953
layer:40,2,5777611134,72.67
layer:40,2,20441776237,116.046
layer:40,3,5776852533,73.436
layer:40,3,20442068259,116.013
layer:40,4,5768900434,80.698
layer:40,4,20441764343,115.943
layer:40,5,5768174821,82.553
layer:40,5,20441980521,116.036
layer:40,6,5768432007,81.695
layer:40,6,20441635740,116.006
layer:40,7,5767808353,81.698
layer:40,7,20441767126,116.068
layer:41,0,5850158901,88.478
layer:41,0,20227699338,118.318
layer:41,1,5849696354,90.229
layer:41,1,20228951441,117.63
layer:41,2,5850426368,88.275
layer:41,2,20228289957,118.235
layer:41,3,5850438024,89.599
layer:41,3,20228590347,118.142
layer:41,4,5849749669,89.62
layer:41,4,20228413086,117.851
layer:41,5,5850876702,89.098
layer:41,5,20228425423,118.346
layer:41,6,5850294685,88.881
layer:41,6,20228366489,118.088
layer:41,7,5849641525,91.001
layer:41,7,20228333701,118.119
layer:42,0,5938768180,81.146
layer:42,0,20007120040,121.177
layer:42,1,5940053864,80.944
layer:42,1,20008105326,121.279
layer:42,2,5938841287,82.051
layer:42,2,20007923781,120.831
layer:42,3,5940179681,80.793
layer:42,3,20008176584,120.733
layer:42,4,5939521869,100.279
layer:42,4,20007869067,120.68
layer:42,5,5940177777,80.219
layer:42,5,20007954046,120.925
layer:42,6,5939334433,81.117
layer:42,6,20007986854,120.274
layer:42,7,5940777566,79.639
layer:42,7,20007987469,120.622
layer:43,0,6020044014,152.234
layer:43,0,19759442398,143.062
layer:43,1,6021128026,150.767
layer:43,1,19760348338,142.697
layer:43,2,6021032475,151.835
layer:43,2,19760178781,143.687
layer:43,3,6021109570,151.255
layer:43,3,19760661424,136.902
layer:43,4,6039951445,132.957
layer:43,4,19760177315,137.0
layer:43,5,6020547007,152.174
layer:43,5,19760214888,140.391
layer:43,6,6020607070,152.274
layer:43,6,19760623215,139.085
layer:43,7,6020551659,152.295
layer:43,7,19761043439,136.503
layer:44,0,6172427610,86.572
layer:44,0,19535682531,118.321
layer:44,1,6172029211,88.65
layer:44,1,19536627122,117.938
layer:44,2,6173021096,86.842
layer:44,2,19536250466,118.253
layer:44,3,6172512137,88.084
layer:44,3,19536726497,117.89
layer:44,4,6173063703,87.417
