category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,416,0.002,38.0,0.125
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,374,0.002,46.1,0.141
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,377,0.002,46.9,0.13
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,266,0.002,57.5,0.146
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,112,0.002,99.7,0.211
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,260,0.002,60.3,0.138
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,176,0.002,68.4,0.177
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,158,0.002,120.7,0.214
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,266,0.002,61.2,0.173
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,140,0.002,107.9,0.239
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,463,0.002,31.1,0.112
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,456,0.002,37.7,0.121
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,303,0.002,36.1,0.111
gemm,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN,98,0.002,115.8,0.229
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,346,0.002,34.3,0.115
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,258.8,0.267
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,332,0.002,53.7,0.268
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,203,0.002,86.1,0.182
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,71,0.002,248.7,0.323
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,48,0.002,261.2,0.383
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,146,0.002,100.3,0.115
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,198.0,0.202
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.3,0.023
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,446,0.002,30.8,0.122
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,394,0.002,29.4,0.118
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,380,0.002,29.2,0.112
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,425,0.002,26.4,0.073
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,494,0.002,30.3,0.108
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,538,0.002,24.4,0.113
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1096,0.002,16.3,0.032
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,96,0.001,40.5,0.081
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,134,0.001,44.9,0.085
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,127,0.001,34.1,0.087
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,254,0.001,20.9,0.052
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,125,0.001,31.8,0.093
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,250,0.001,20.1,0.048
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,125,0.001,38.9,0.087
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,174,0.001,41.7,0.079
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,125,0.001,45.9,0.084
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,208,0.001,21.8,0.051
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,208,0.001,20.6,0.05
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,288,0.001,41.0,0.111
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,210,0.001,22.4,0.049
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,107,0.001,46.1,0.087
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,136,0.001,49.8,0.136
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,183,0.001,36.4,0.125
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,200,0.001,21.2,0.034
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,105,0.001,45.1,0.08
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,75,0.001,73.2,0.105
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,150,0.001,38.4,0.062
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,78,0.001,57.8,0.138
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,183,0.001,47.9,0.142
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,230,0.001,22.5,0.043
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,125,0.001,48.6,0.088
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,226,0.001,52.0,0.131
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,164,0.001,55.1,0.141
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,400,0.001,23.2,0.108
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,129,0.001,55.9,0.142
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,64,0.001,81.8,0.137
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,151,0.001,55.6,0.13
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,109,0.001,55.6,0.143
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,83,0.001,114.4,0.231
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,172,0.001,25.2,0.048
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,74,0.001,78.0,0.127
