waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
2,3556873301,16.089,3,0.0,1.017,laggard_gpu_busy,gemm=11.6ms;moe_permute=3.4ms;activation=1.2ms,forward|attention|dsa_indexer
2,3768349761,14.91,5,0.0,1.072,laggard_gpu_busy,gemm=11.8ms;moe_permute=2.9ms;activation=1.0ms,forward|moe
2,3844725365,6.603,0,0.001,1.043,laggard_gpu_busy,gemm=3.8ms;moe_permute=3.1ms;hybridep_meta=0.0ms,forward|moe
2,3902908376,20.638,6,0.0,1.07,laggard_gpu_busy,gemm=17.6ms;moe_permute=3.1ms;activation=1.1ms,forward|attention|dsa_indexer
2,4049518084,10.109,5,0.0,1.037,laggard_gpu_busy,gemm=7.1ms;moe_permute=2.4ms;activation=0.7ms,forward|moe
2,4176731930,18.136,5,0.0,1.028,laggard_gpu_busy,gemm=13.8ms;moe_permute=3.3ms;activation=1.2ms,forward|moe
2,4450456114,14.895,0,0.0,1.053,laggard_gpu_busy,gemm=11.1ms;moe_permute=3.2ms;activation=1.1ms,forward|moe
2,4518778448,11.151,5,0.0,1.074,laggard_gpu_busy,gemm=8.1ms;moe_permute=2.8ms;activation=0.9ms,forward|moe
2,4585101220,12.422,1,0.0,1.056,laggard_gpu_busy,gemm=9.1ms;moe_permute=2.8ms;activation=0.9ms,forward|attention|dsa_indexer
2,4723276006,12.474,6,0.0,0.957,laggard_gpu_busy,gemm=7.5ms;moe_permute=3.1ms;activation=1.0ms,forward|moe
2,4790420031,13.529,7,0.0,1.045,laggard_gpu_busy,gemm=9.8ms;moe_permute=3.0ms;activation=1.0ms,forward|moe
2,4863865684,5.129,0,0.001,1.019,laggard_gpu_busy,gemm=2.7ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|moe
2,4917812655,20.773,4,0.0,1.071,laggard_gpu_busy,gemm=18.0ms;moe_permute=3.0ms;activation=1.0ms,forward|attention|dsa_indexer
2,5093887169,7.802,7,0.001,1.036,laggard_gpu_busy,gemm=4.8ms;moe_permute=3.3ms;hybridep_meta=0.0ms,forward|moe
2,5153945048,18.683,6,0.0,1.048,laggard_gpu_busy,gemm=14.8ms;moe_permute=3.5ms;activation=1.1ms,forward|moe
2,5227957808,14.031,1,0.0,1.062,laggard_gpu_busy,gemm=11.0ms;moe_permute=2.7ms;activation=0.9ms,forward|moe
2,5305558905,20.268,1,0.0,1.05,laggard_gpu_busy,gemm=15.4ms;moe_permute=4.0ms;activation=1.6ms,forward|attention|dsa_indexer
2,5520548993,12.88,6,0.0,1.055,laggard_gpu_busy,gemm=9.1ms;moe_permute=3.2ms;activation=1.1ms,forward|moe
2,5662030610,16.559,4,0.0,0.92,laggard_gpu_busy,gemm=9.9ms;moe_permute=3.7ms;activation=1.3ms,forward|attention|dsa_indexer
2,5804656777,10.443,6,0.0,1.028,laggard_gpu_busy,gemm=6.7ms;moe_permute=3.0ms;activation=0.8ms,forward|moe
2,5874929136,12.793,1,0.0,0.706,laggard_gpu_busy,gemm=7.2ms;moe_permute=1.2ms;activation=0.3ms,forward|moe
2,5938878201,15.533,3,0.0,1.036,laggard_gpu_busy,gemm=12.0ms;moe_permute=2.9ms;activation=0.9ms,forward|moe
2,6163555438,7.836,1,0.001,1.026,laggard_gpu_busy,gemm=5.0ms;moe_permute=3.1ms;hybridep_meta=0.0ms,forward|moe
2,6297465596,5.595,7,0.001,1.035,laggard_gpu_busy,gemm=3.6ms;moe_permute=2.2ms;hybridep_meta=0.0ms,forward|moe
2,6355462794,13.839,4,0.0,1.053,laggard_gpu_busy,gemm=10.4ms;moe_permute=2.9ms;activation=1.0ms,forward|attention|dsa_indexer
2,6496228692,8.177,1,0.001,1.039,laggard_gpu_busy,gemm=5.8ms;moe_permute=2.7ms;hybridep_meta=0.0ms,forward|moe
2,6561833561,5.16,1,0.001,1.013,laggard_gpu_busy,moe_permute=2.7ms;gemm=2.6ms;hybridep_meta=0.0ms,forward|moe
2,6617984174,11.483,0,0.0,0.992,laggard_gpu_busy,gemm=7.9ms;moe_permute=2.4ms;activation=0.8ms,forward|moe
2,6686545410,15.395,1,0.0,1.055,laggard_gpu_busy,gemm=11.6ms;moe_permute=3.2ms;activation=1.2ms,forward|attention|dsa_indexer
2,6832821461,8.677,1,0.001,1.038,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.7ms;hybridep_meta=0.0ms,forward|moe
2,6969726587,8.558,0,0.0,1.042,laggard_gpu_busy,gemm=6.2ms;moe_permute=2.7ms;hybridep_meta=0.0ms,forward|moe
2,7038344110,8.17,3,0.001,1.029,laggard_gpu_busy,gemm=5.6ms;moe_permute=2.8ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
2,7304141362,11.769,0,0.0,0.94,laggard_gpu_busy,gemm=7.1ms;moe_permute=2.8ms;activation=0.9ms,forward|moe
2,7370056568,11.138,5,0.0,1.032,laggard_gpu_busy,gemm=7.5ms;moe_permute=2.8ms;activation=0.9ms,forward|attention|dsa_indexer
2,7502855337,14.705,4,0.0,1.056,laggard_gpu_busy,gemm=11.6ms;moe_permute=2.7ms;activation=0.9ms,forward|moe
2,7579892262,8.642,6,0.0,1.025,laggard_gpu_busy,gemm=5.7ms;moe_permute=3.2ms;hybridep_meta=0.0ms,forward|moe
2,7637956421,19.151,6,0.0,1.053,laggard_gpu_busy,gemm=15.7ms;moe_permute=3.1ms;activation=1.1ms,forward|moe
2,7720490494,13.775,1,0.0,1.022,laggard_gpu_busy,gemm=9.3ms;moe_permute=3.8ms;activation=0.7ms,forward|lm_head
2,8018226207,13.08,1,0.0,1.019,laggard_gpu_busy,gemm=9.1ms;moe_permute=3.4ms;activation=0.5ms,backward|recompute
2,8064236418,17.617,1,0.0,1.03,laggard_gpu_busy,gemm=14.0ms;moe_permute=4.1ms;hybridep_meta=0.0ms,backward|recompute
2,8214894412,34.901,6,0.0,0.013,laggard_gpu_idle(host),hybridep_meta=0.4ms;other=0.1ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
2,8262156118,18.059,6,0.0,0.845,laggard_gpu_busy,gemm=11.2ms;moe_permute=2.8ms;activation=1.0ms,backward|recompute
2,8296624416,21.256,6,0.0,1.028,laggard_gpu_busy,gemm=14.2ms;topk_router=3.5ms;moe_permute=3.0ms,backward|recompute
2,8472706921,8.433,6,0.0,1.027,laggard_gpu_busy,gemm=5.5ms;moe_permute=3.1ms;hybridep_meta=0.0ms,backward|recompute
2,8515512421,10.288,6,0.0,1.019,laggard_gpu_busy,gemm=7.0ms;moe_permute=3.5ms;hybridep_meta=0.0ms,backward|recompute
2,8681353399,14.748,4,0.0,1.061,laggard_gpu_busy,gemm=11.8ms;moe_permute=2.7ms;activation=0.9ms,backward|recompute
2,8715276325,16.834,4,0.0,1.036,laggard_gpu_busy,gemm=12.8ms;moe_permute=3.0ms;activation=1.1ms,backward|recompute
2,8875744124,11.458,5,0.0,1.044,laggard_gpu_busy,gemm=7.9ms;moe_permute=2.8ms;activation=0.9ms,backward|recompute
2,8911251794,13.013,5,0.0,1.043,laggard_gpu_busy,gemm=10.6ms;moe_permute=3.0ms;hybridep_meta=0.0ms,backward|recompute
2,9081555900,11.785,0,0.0,0.945,laggard_gpu_busy,gemm=7.2ms;moe_permute=2.7ms;activation=0.9ms,backward|recompute
2,9116127309,13.254,0,0.0,1.041,laggard_gpu_busy,gemm=11.0ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|recompute
2,9695201255,8.042,3,0.001,1.032,laggard_gpu_busy,gemm=5.4ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|recompute
