category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,426,0.004,73.1,0.189
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,140,0.004,197.0,0.797
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,418,0.003,47.4,0.141
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,580,0.003,32.6,0.222
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,356,0.003,46.3,0.256
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,166,0.003,118.5,0.236
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,148,0.003,118.6,0.3
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,630,0.003,35.8,0.126
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,714,0.003,27.8,0.131
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,298,0.003,73.4,0.145
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,195,0.003,102.0,0.267
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,208,0.003,120.4,0.238
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,312,0.003,65.8,0.112
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,228,0.003,86.6,0.22
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.2,0.077
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,620,0.003,32.6,0.133
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,857,0.003,27.3,0.112
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,336,0.002,50.9,0.141
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,436,0.002,38.0,0.14
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,301,0.002,41.9,0.13
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,242,0.002,53.6,0.125
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,355,0.002,46.4,0.152
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,278,0.002,57.9,0.129
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,114,0.002,100.9,0.214
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,236,0.002,60.4,0.15
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,185,0.002,67.9,0.15
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,254,0.002,61.9,0.131
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_TNT,108,0.002,108.3,0.246
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,443,0.002,31.0,0.141
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,476,0.002,37.8,0.085
