gpu,category,kernels,summed_gpu_s,max_ms,median_us
5,norm,1251,0.305,1.049,44.9
5,activation,381,0.168,1.8,357.2
5,hybridep_meta,750,0.084,1.357,1.9
5,cub_scan_sort,1276,0.077,2.139,2.1
5,other,1070,0.014,0.087,2.3
5,cross_entropy,8,0.006,0.759,757.6
5,nonzero_cub,369,0.001,0.006,1.9
6,gemm,21594,5.426,7.321,76.5
6,dsa_backward,312,3.809,53.667,531.8
6,cat_copy,9907,2.699,8.861,12.9
6,hybridep_sync,900,2.308,36.059,396.0
6,dsa_forward,156,1.269,10.768,7946.7
6,elementwise,33722,1.239,0.765,8.0
6,dsa_indexer,798,1.219,3.266,1553.2
6,nccl,429,1.06,446.052,525.4
6,moe_permute,450,0.877,3.783,1835.8
6,hybridep_combine,225,0.85,4.414,3776.5
6,hybridep_dispatch,225,0.762,4.281,3481.8
6,topk_router,836,0.383,5.046,428.0
6,norm,1251,0.309,1.046,45.0
6,activation,381,0.196,1.674,429.3
6,hybridep_meta,750,0.083,2.433,1.7
6,cub_scan_sort,1276,0.077,2.168,2.0
6,other,1070,0.014,0.108,2.2
6,cross_entropy,8,0.006,0.758,757.3
6,nonzero_cub,369,0.001,0.006,1.8
7,gemm,21572,4.83,7.132,73.0
7,dsa_backward,312,3.749,55.921,527.1
7,hybridep_sync,900,2.802,42.17,91.3
7,cat_copy,9907,2.669,7.784,12.9
7,dsa_forward,156,1.251,9.929,7915.3
7,nccl,429,1.249,446.44,773.4
7,elementwise,33722,1.234,0.763,8.4
7,dsa_indexer,798,1.191,2.849,1388.2
7,hybridep_dispatch,225,0.974,5.016,4395.5
7,hybridep_combine,225,0.871,4.517,3891.5
7,moe_permute,450,0.752,3.493,1626.8
7,topk_router,836,0.342,4.039,424.7
7,norm,1251,0.308,1.014,44.8
7,activation,381,0.166,1.638,381.9
7,hybridep_meta,750,0.079,2.419,1.9
7,cub_scan_sort,1276,0.077,2.082,2.2
7,other,1070,0.014,0.103,2.3
7,cross_entropy,8,0.006,0.76,757.0
7,nonzero_cub,369,0.001,0.006,1.8
