phase,gpu,metric,avg
forward,3,SMs Active [Throughput %],65.17
forward,3,SM Issue [Throughput %],22.03
forward,3,Tensor Active [Throughput %],27.8
forward,3,DRAM Read Bandwidth [Throughput %],11.31
forward,3,DRAM Write Bandwidth [Throughput %],8.08
forward,3,NVLink RX Requests Protocol Data [Throughput %],0.77
forward,3,NVLink RX Requests User Data [Throughput %],2.27
forward,3,NVLink RX Responses Protocol Data [Throughput %],0.39
forward,3,NVLink RX Responses User Data [Throughput %],1.87
forward,3,NVLink TX Requests Protocol Data [Throughput %],0.86
forward,3,NVLink TX Requests User Data [Throughput %],2.24
forward,3,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,3,NVLink TX Responses User Data [Throughput %],1.79
forward,4,GR Active [Throughput %],97.95
forward,4,SMs Active [Throughput %],65.26
forward,4,SM Issue [Throughput %],22.31
forward,4,Tensor Active [Throughput %],27.75
forward,4,DRAM Read Bandwidth [Throughput %],11.31
forward,4,DRAM Write Bandwidth [Throughput %],8.03
forward,4,NVLink RX Requests Protocol Data [Throughput %],0.75
forward,4,NVLink RX Requests User Data [Throughput %],2.21
forward,4,NVLink RX Responses Protocol Data [Throughput %],0.39
forward,4,NVLink RX Responses User Data [Throughput %],1.9
forward,4,NVLink TX Requests Protocol Data [Throughput %],0.88
forward,4,NVLink TX Requests User Data [Throughput %],2.24
forward,4,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,4,NVLink TX Responses User Data [Throughput %],1.76
forward,5,GR Active [Throughput %],97.81
forward,5,SMs Active [Throughput %],63.54
forward,5,SM Issue [Throughput %],21.68
forward,5,Tensor Active [Throughput %],26.67
forward,5,DRAM Read Bandwidth [Throughput %],11.2
forward,5,DRAM Write Bandwidth [Throughput %],7.98
forward,5,NVLink RX Requests Protocol Data [Throughput %],0.73
forward,5,NVLink RX Requests User Data [Throughput %],2.17
forward,5,NVLink RX Responses Protocol Data [Throughput %],0.4
forward,5,NVLink RX Responses User Data [Throughput %],1.88
forward,5,NVLink TX Requests Protocol Data [Throughput %],0.87
forward,5,NVLink TX Requests User Data [Throughput %],2.23
forward,5,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,5,NVLink TX Responses User Data [Throughput %],1.7
forward,6,GR Active [Throughput %],97.91
forward,6,SMs Active [Throughput %],67.57
forward,6,SM Issue [Throughput %],22.7
forward,6,Tensor Active [Throughput %],29.57
forward,6,DRAM Read Bandwidth [Throughput %],11.7
forward,6,DRAM Write Bandwidth [Throughput %],8.27
forward,6,NVLink RX Requests Protocol Data [Throughput %],0.83
forward,6,NVLink RX Requests User Data [Throughput %],2.45
forward,6,NVLink RX Responses Protocol Data [Throughput %],0.36
forward,6,NVLink RX Responses User Data [Throughput %],1.85
forward,6,NVLink TX Requests Protocol Data [Throughput %],0.85
forward,6,NVLink TX Requests User Data [Throughput %],2.24
forward,6,NVLink TX Responses Protocol Data [Throughput %],0.31
forward,6,NVLink TX Responses User Data [Throughput %],1.95
forward,7,GR Active [Throughput %],97.93
forward,7,SMs Active [Throughput %],63.67
forward,7,SM Issue [Throughput %],21.8
forward,7,Tensor Active [Throughput %],26.73
forward,7,DRAM Read Bandwidth [Throughput %],11.17
forward,7,DRAM Write Bandwidth [Throughput %],7.95
forward,7,NVLink RX Requests Protocol Data [Throughput %],0.74
forward,7,NVLink RX Requests User Data [Throughput %],2.17
forward,7,NVLink RX Responses Protocol Data [Throughput %],0.4
forward,7,NVLink RX Responses User Data [Throughput %],1.89
forward,7,NVLink TX Requests Protocol Data [Throughput %],0.87
